time_s,shoulder_pan_position_rad,shoulder_lift_position_rad,elbow_flex_position_rad,wrist_flex_position_rad,wrist_roll_position_rad,shoulder_pan_velocity_rad_s,shoulder_lift_velocity_rad_s,elbow_flex_velocity_rad_s,wrist_flex_velocity_rad_s,wrist_roll_velocity_rad_s,shoulder_pan_acceleration_rad_s2,shoulder_lift_acceleration_rad_s2,elbow_flex_acceleration_rad_s2,wrist_flex_acceleration_rad_s2,wrist_roll_acceleration_rad_s2,active_joint_name,phase,motion_stage
0.000000000,0.000000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,start,reference_to_pregrasp
0.050000000,0.000250000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.010000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.100000000,0.001000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.020000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.150000000,0.002250000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.030000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.200000000,0.004000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.040000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.250000000,0.006250000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.050000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.300000000,0.009000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.060000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.350000000,0.012250000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.070000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,accelerate,reference_to_pregrasp
0.400000000,0.016000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.080000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,cruise,reference_to_pregrasp
0.450000000,0.020000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.080000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,cruise,reference_to_pregrasp
0.500000000,0.024000000000,-0.350000000000,0.350000000000,1.220000000000,0.000000000000,0.080000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,shoulder_pan,cruise,reference_to_pregrasp
