id,workspace_x_m,workspace_y_m,base_x_m,base_y_m,set
F1,0.09720752251216291,0.20634026178296275,0.15,0.00,fit
F2,0.17032722951280324,0.20783140935283664,0.15,0.08,fit
F3,0.01837452025033299,0.20695009015735807,0.15,-0.08,fit
F4,0.09575441958410542,0.13085651221072736,0.23,0.00,fit
F5,0.17281414346826482,0.13324794647551827,0.23,0.08,fit
F6,0.019927380739752153,0.13078903893201987,0.23,-0.08,fit
H1,0.09613648842773063,0.16364061679101313,0.20,0.00,holdout
H2,0.13545200355315698,0.18040923881392337,0.18,0.04,holdout
